epoch,loss,val_loss
0,16212.2059572,10127.3089611
1,4894.89516518,2588.26539955
2,2067.98317622,1493.09229275
3,1360.70875946,865.618567933
4,1033.18231869,610.338456422
5,921.703093372,518.692360238
6,884.607505924,480.200073933
7,867.615216734,460.521269666
8,856.563923644,447.156928162
9,847.833216565,439.720502308
10,835.077946091,432.151523059
11,831.636816438,424.003773949
12,827.352584895,420.514016923
13,823.699264521,415.987060599
14,816.100437462,419.822725424
15,813.735501222,412.626222588
16,814.274115841,411.904253958
17,806.89171604,411.767115824
18,807.970917781,420.568269756
19,808.856763555,408.670866839
20,807.637134439,407.744095653
21,809.160396234,407.298098527
22,806.880872293,407.860716115
23,805.931796282,411.315011283
24,805.867265229,412.719323389
25,802.200015404,418.198160316
26,804.863649703,409.376269944
27,804.456747723,405.676738477
28,806.063722649,406.155718391
29,807.368703905,405.68881752
30,803.367893887,406.399573509
31,804.402183893,406.742851076
32,802.200013914,414.611111192
33,801.817247537,408.992107361
34,804.125610412,405.346404843
35,800.632288435,403.387627512
36,800.072329315,400.754737026
37,801.264718585,399.629163913
38,795.268995777,400.039322828
39,795.645651761,396.858298583
40,788.615345267,397.500178756
41,788.169818508,393.050802399
42,784.529515418,391.442711496
43,778.646784572,387.720844576
44,779.062496306,387.271738539
45,774.929495146,376.447631416
46,768.138691983,375.292195146
47,762.08341012,369.276554834
48,755.503217073,364.3532775
49,747.926707828,360.622702895
50,743.404076204,350.199196895
51,733.619179091,341.744885995
52,730.317274929,339.843834217
53,723.878641033,330.62269084
54,715.710723314,324.462279431
55,707.951977181,327.464083722
56,703.292116399,318.050012815
57,696.238171235,312.076948189
58,690.203355869,306.929430889
59,684.985693269,297.827660571
60,681.444406502,297.069999054
61,676.667204819,290.305383402
62,670.247988925,288.786580603
63,665.303550634,280.876749406
64,661.526538053,283.58620381
65,655.49448209,280.132199112
66,650.759953104,273.397664147
67,648.736505743,268.901863288
68,643.823782995,273.223230305
69,633.76752513,270.151257767
70,638.453362843,264.1230535
71,638.196954977,260.178139493
72,631.94944493,257.5384796
73,630.373526588,258.636781332
74,633.244547115,250.526719784
75,625.698033171,252.522366978
76,622.871851304,246.974007886
77,622.219702926,245.088330123
78,619.644946314,242.810434134
79,616.985202347,242.44920681
80,612.084482247,255.381997762
81,609.778460735,238.374078277
82,608.580731073,235.242434537
83,603.758318116,234.18375478
84,606.931859297,234.685276961
85,604.394745433,231.156549489
86,600.366252267,230.404250892
87,598.741391542,229.633152721
88,595.712427117,242.838127764
89,588.199861086,235.859587737
90,594.060384113,224.056436862
91,592.536620729,226.891042095
92,588.846474309,223.149917809
93,588.790379655,220.71297619
94,588.274736032,231.028112625
95,586.182426203,220.179869614
96,584.851252521,220.341584118
97,585.23565312,217.71363798
98,582.169144761,219.49198042
99,582.387343537,214.294359662
100,579.459081035,215.877072704
101,580.619562006,215.192731972
102,574.638018759,223.333528864
103,578.367511804,209.892678276
104,574.319833065,217.655422522
105,576.009969297,218.768048681
106,574.689202672,216.442645329
107,573.861173868,214.059969389
108,570.597307578,208.101919141
109,568.374710993,217.252556435
110,571.18532647,215.524559586
111,568.733480616,208.610723785
112,568.19405947,204.947041036
113,567.624641212,205.661265779
114,566.50000691,202.913244801
115,565.430869706,202.190223887
116,560.99279913,215.150092475
117,564.47693933,201.555152061
118,559.537288979,211.670791648
119,564.654485517,201.226084264
120,562.57061175,199.542524968
121,560.695892827,200.150040117
122,560.113231385,199.400332926
123,559.155796839,201.176918391
124,558.710744798,198.467148697
125,556.599547904,203.17938835
126,554.901542079,200.588891429
127,555.219078912,197.284259971
128,558.032596614,196.199266096
