epoch,loss,val_loss
0,1385.36519495,44.7962594609
1,233.073823468,120.1642751
2,230.691941656,67.9099761286
3,209.044412684,58.9520125225
4,199.353638346,64.0455125059
5,185.916896048,113.571908392
6,178.958811848,65.8507384446
7,162.631153327,36.6779030022
8,157.751248711,28.5585841146
9,144.670753914,111.003235854
10,139.87375483,23.3022889791
11,141.895699619,28.6239870408
12,138.513987607,22.494775053
13,126.652043312,34.3048644456
14,134.672607724,33.8091199781
15,119.628959062,27.2106407037
16,125.912904063,27.3316867971
17,116.349856461,37.9905058949
18,113.992642116,71.1036473336
19,110.394500168,58.5990152735
20,109.700522344,31.1824053728
21,112.594637476,51.6525179962
22,108.227095821,58.3796749835
23,127.169399914,42.7119758248
24,116.29461175,46.6583236474
25,105.825243281,92.9403329599
26,108.316504151,86.451524996
27,101.713048938,29.0232507871
28,102.222416097,144.643536289
29,101.476295509,52.8195779838
30,101.689545136,67.6838141537
31,99.6186298214,34.4569291949
32,95.9544721887,112.672093082
33,97.9458745244,51.434720388
34,96.272189307,41.0137872808
35,97.4656243372,33.7499513651
36,93.566188459,36.7006991978
37,97.9425660524,521.731814686
38,93.2822093617,55.6951810709
39,118.590833969,28.6675243316
40,93.9819641362,61.3348659505
41,103.010091279,19.3145350006
42,91.6934219474,36.9808425947
43,93.546578481,18.9268726678
44,89.8211066591,43.4520762718
45,91.1677594583,34.3268923137
46,89.5766985145,41.6219511426
47,92.3383407488,53.2884372089
48,94.2742078906,25.8471528949
49,90.1624708403,29.5024192984
50,90.956616649,29.3834412411
51,91.7443439564,25.5345722
52,90.8979151593,22.1265865501
53,89.9209786928,16.4022576022
54,87.2481703592,18.7553077542
55,89.7399204946,28.917020108
56,91.5661300731,24.1071908136
57,94.4740248693,19.9326995916
58,87.8224399762,24.7420887777
59,86.8167767753,28.6426369422
60,86.301814086,31.2853993314
61,88.4802086328,42.080638256
62,89.2661259934,43.6042768622
63,86.9939086454,24.4677912022
64,87.7868402382,13.1570994551
65,86.4603507447,32.3970959632
66,86.1705139122,37.1674457639
67,87.5924934081,24.4763727645
68,88.8780917723,30.5625030686
69,88.2672842951,25.5675691304
70,87.5159598793,30.2391904901
71,85.2724644411,23.4278676045
72,86.1402227859,21.3431378209
73,85.749055873,20.1081392094
74,86.3986835349,50.2487682195
75,84.1004829552,27.5824021559
76,86.0080082958,19.1131845502
77,86.1944905644,23.6427123072
78,86.8410741264,22.9583259636
79,85.9470278708,17.4881839106
80,85.5720366425,39.3739328652
81,84.7146415515,38.5633078654
82,86.7408272462,21.2501685516
83,99.8207232383,40.1571662765
84,88.0823078916,26.8736186273
85,86.623206133,16.2841543046
86,84.4331047149,26.8117102294
87,84.2813921165,56.4858645145
88,85.6574477514,31.7152256106
89,86.1180382442,34.0035711018
90,83.2492456496,44.1405352982
91,84.7111915523,18.8550907838
92,84.7939839335,34.1020413715
93,84.2510312136,20.5322438723
94,86.9531700294,15.2002385132
95,86.185807287,21.3489168619
96,83.7810745063,47.4787215966
97,85.2993896053,29.7906996429
98,83.1048020904,33.4174581392
99,83.8355335497,53.32764372
