epoch,loss,val_loss
0,70.1693202175,73.9924593961
1,17.6527804223,68.205270183
2,16.9902019056,67.2864678941
3,16.1153437512,61.508908
4,15.9648580189,52.9424642852
5,16.2602103236,19.5969512345
6,15.8229359676,30.2701556051
7,15.9605931528,68.4691543158
8,15.3981300625,60.2030286039
9,15.4497048683,40.3170910248
10,15.3240974895,17.8204904007
11,15.5702327778,24.2556743425
12,15.5354296558,21.409474595
13,15.2072171858,25.8630654762
14,15.0338388803,76.3044307389
15,15.3975110692,27.2802067023
16,15.2371019038,32.1585370172
17,15.3219047395,29.2718010198
18,15.2320466447,30.0239595941
19,14.949749437,29.3873712224
