epoch,loss,val_loss
0,1348.23343044,192.43914845
1,257.988916958,124.929364901
2,238.315015957,332.533650873
3,233.840998788,111.748108869
4,222.807382477,251.786580338
5,228.671939897,87.1313965264
6,220.986366345,120.781549168
7,244.131929913,112.243833723
8,191.144921555,93.1822728228
9,187.698358216,82.2814976247
10,185.575992344,78.4008417648
11,181.79571797,100.002983639
12,181.896086776,85.6886973797
13,180.686643893,78.8993608804
14,183.558847528,101.982501359
15,178.560463692,101.553972262
16,179.998843508,118.076218179
17,176.750871386,100.873928705
18,181.192526964,245.274330117
19,174.233728835,147.086980473
20,174.897451455,120.959161427
21,173.714655725,100.956619325
22,168.83102667,97.7094519552
23,175.700619431,87.0575328278
24,167.568111773,109.809720634
25,168.746380952,99.1012666675
26,168.609612047,102.912256465
27,164.376897814,83.5371491931
28,165.395931566,81.5743965719
29,161.267017618,122.53119754
30,163.093815822,89.779267471
31,164.299820451,83.6607508757
32,166.292515433,79.6958574886
33,161.305077523,135.008519626
34,161.882178863,83.9008506007
35,160.520011578,111.061252185
36,157.202444991,111.203608764
37,159.006218083,86.9808462562
38,159.046190242,79.5754348764
39,157.792540581,106.441031893
40,158.683033567,86.0470627978
41,159.455738038,96.201252688
42,158.609057168,87.1564884475
43,157.977185487,86.1786461708
44,158.990264305,94.7168024647
45,154.489131413,87.8273532649
46,155.794587839,82.3328318473
47,152.852844162,84.2094451458
48,154.039399031,100.433699749
49,157.238079446,98.2318640734
50,154.071937468,87.7751395424
51,153.884224559,78.4601029797
52,152.885381823,85.4918768453
53,152.225659734,94.8137006489
54,152.588309756,88.2881928386
55,151.447562932,85.0859957051
56,154.360348228,108.22520185
57,154.984721016,84.4882340035
58,153.139894086,73.833992341
59,150.485495975,87.356422547
60,151.323046472,92.9036553154
61,148.159166041,91.0824125039
62,149.076800915,93.3199192882
63,146.929347679,98.6595259813
64,147.655792709,95.6717941954
65,146.533206721,80.8748507806
66,145.341561953,102.793553568
67,144.55305971,92.0098427168
68,145.22157892,79.6728806423
69,141.996547144,75.4256032311
70,142.586064285,87.2749382183
71,142.16160237,82.9870993097
72,141.859062466,96.0066138928
73,144.991368419,101.026322842
74,143.762123821,86.1496651996
75,144.395085035,111.052483737
76,144.591446862,87.3184825256
77,141.185927984,86.7257570595
78,142.150861075,89.6225671369
79,139.799545653,102.049088625
80,140.188200016,95.9786876826
81,139.588489824,105.446422825
82,140.050867693,86.3332476371
83,140.324264993,75.6806513811
84,140.423474601,86.4984483164
85,137.095022823,78.2039148168
86,138.58164569,99.7532824722
87,139.259226511,81.2376496346
88,138.618323823,94.5076536565
89,139.771498753,108.43961692
90,138.30053858,82.3384475646
91,138.428611812,101.037440077
92,137.865937014,92.8213740837
93,137.571861273,86.2792192112
94,138.553303304,93.7814874088
95,138.201417556,90.6423259491
96,136.753243324,88.8531661174
97,138.759583768,84.6839111587
98,140.564359324,209.662959995
99,137.440648773,89.2654767218
