epoch,loss,val_loss
0,1311.23039377,197.461856922
1,256.864200836,359.449234605
2,226.974000619,167.539981824
3,206.570332476,156.341873597
4,192.794042997,533.277799113
5,186.393902972,364.939399505
6,173.475281534,187.275229746
7,178.637131046,220.683769272
8,170.508728466,295.817963827
9,164.091186569,277.835779726
10,162.091599853,213.664312157
11,158.545473903,269.207217913
12,157.89240352,257.067382253
13,154.855027715,278.552281721
14,156.258716981,333.973597237
15,155.410988232,287.753365886
16,152.670994188,255.222765593
17,155.124711988,286.129684969
18,152.07329798,324.004771724
19,147.334597988,224.419530494
20,150.922404306,332.387262489
21,148.534570939,262.363541809
22,147.365902322,220.081120816
23,146.434160716,254.683666874
24,151.023027857,216.703109816
25,144.304050274,182.664738985
26,144.220323866,318.173171752
27,143.232209564,301.551130778
28,142.846667599,247.285910732
29,141.757137887,267.767149135
30,144.330559021,306.981231545
31,139.454955008,256.814594789
32,139.248729642,226.254982757
33,139.857080462,301.441966088
34,142.990796159,230.801444617
35,138.851824546,274.338789965
36,140.738853633,300.82112978
37,137.120155905,271.755654781
38,137.572148424,267.227478063
39,138.328756693,220.555999398
40,136.923768142,243.583869383
41,133.516187629,299.860883914
42,135.14898565,323.615061275
43,137.006542422,222.784172959
44,136.683524528,249.80194879
45,133.936374344,341.178169383
46,135.237390662,262.939637369
47,134.931696889,258.050751326
48,133.489206416,338.802916215
49,132.294161198,216.626353419
50,132.312942483,234.941255583
51,132.858442069,294.930016001
52,130.172162987,321.725732113
53,133.082370421,201.332320338
54,131.803202075,218.120399276
55,133.043584027,256.925118778
56,132.669823351,200.610852995
57,132.727778687,341.953675646
58,130.917135427,312.488013106
59,131.829566299,205.724702217
60,130.541368481,245.730495277
61,130.426297147,213.84905396
62,131.185634956,261.682785861
63,127.931702563,185.06707582
64,129.831201394,265.464024945
65,133.114468304,187.368319136
66,126.366717463,280.250276742
67,126.199105514,168.578900336
68,130.789063815,264.98796703
69,126.945719846,323.205283771
70,126.262248058,269.453647091
71,127.540873401,234.65617681
72,125.718832663,338.16560126
73,127.854338749,206.713905286
74,124.490819426,255.230030532
75,124.334152582,233.722968244
76,123.996313251,272.486788628
77,123.942112265,249.596317078
78,128.507608149,271.206461509
79,121.701121548,367.542907973
80,123.444914171,254.837529638
81,122.466395644,282.174711261
82,120.33216365,242.327144305
83,120.738412446,282.737748592
84,120.360709518,248.406281959
85,118.043766154,233.58523686
86,120.324013205,235.754534406
87,118.649498223,272.477299227
88,121.469986514,231.68419278
89,117.814259682,230.863278266
90,120.049759756,236.66770444
91,120.850240739,249.969968857
92,118.358579698,239.410221104
93,117.888188918,229.527607459
94,116.549882094,265.04500096
95,117.851205,248.565737353
96,118.504560094,278.892992755
97,118.113348023,263.739212113
98,115.775601132,235.419525618
99,118.115407292,240.342488818
