epoch,loss,val_loss
0,1326.48436269,236.023158936
1,259.690790426,131.463383276
2,224.713685026,298.10534599
3,213.132170654,132.123001967
4,214.06709821,127.115458777
5,199.251334574,156.309490524
6,196.852356854,111.021734115
7,190.541283704,87.9263626561
8,179.949019613,117.864102619
9,175.169440989,190.296789725
10,174.524834353,165.871551082
11,171.903141149,147.462161116
12,169.862488494,165.705449933
13,166.08358305,128.831452725
14,167.060030892,97.8306882386
15,165.219162895,223.806210062
16,163.078420866,150.296839027
17,165.008436371,158.889726708
18,162.319902353,154.442063917
19,158.696259289,134.493929974
20,162.614254747,101.15483976
21,158.97371215,140.020976303
22,161.221300976,113.13183335
23,156.169113154,94.3373402214
24,159.492645709,179.768320918
25,164.628140402,116.222438163
26,164.997106733,98.5403699921
27,155.84217225,176.378992699
28,154.963984883,138.96912395
29,153.614044833,117.025589564
30,152.147867573,132.774681611
31,152.439971005,124.09657138
32,150.93000443,84.5784931909
33,148.852573682,110.607209321
34,150.549912512,99.504052906
35,150.50657066,100.753894716
36,149.515912573,150.429877714
37,151.513845197,144.740320287
38,149.252430235,201.343971039
39,148.362269944,102.7787072
40,149.537459669,124.408406592
41,148.805313838,134.35950832
42,144.018543828,134.340895665
43,146.458340241,175.751250577
44,145.794908814,141.726958233
45,145.656550024,179.097686775
46,145.591021704,148.886534347
47,142.303115955,155.625085477
48,144.803459928,165.255783516
49,144.826237494,147.965754035
50,144.399065148,164.041354038
51,142.912393855,121.164698155
52,144.235063928,149.737289399
53,144.043079394,121.603794238
54,144.449278451,115.296480014
55,144.64890784,142.922686534
56,141.963249886,129.780550298
57,140.864685199,119.263201869
58,145.128466279,107.291527842
59,142.488364577,125.412316187
60,142.503572399,222.336392007
61,140.402329567,149.176622904
62,136.310781248,155.754818899
63,144.868320402,135.380426829
64,139.840399688,134.671946047
65,139.279149556,142.958162682
66,138.50681806,145.08213122
67,136.171904398,119.951480208
68,134.805249982,110.59092728
69,136.931230309,104.962761098
70,136.014690087,143.742407449
71,137.260524778,127.534396016
72,134.276193436,150.659386722
73,134.912768778,184.317662641
74,134.624626389,213.92736423
75,134.302868481,112.474430321
76,134.474870894,130.509889301
77,132.861634586,134.789845689
78,131.373609249,186.353583567
79,132.17530306,101.252070311
80,134.249213586,92.1563580534
81,132.1999283,169.766274978
82,132.297956007,119.436475666
83,131.828839694,95.4591728222
84,132.290690706,151.45914941
85,128.811497919,130.528923971
86,131.418378792,155.022320847
87,132.263889569,141.073029908
88,129.190031061,151.049649704
89,129.625413038,121.231344184
90,135.272056292,104.379337994
91,133.185689608,108.916974589
92,128.120325024,192.07210131
93,129.552231986,157.806765539
94,131.532288849,160.708577373
95,129.926083662,181.730728283
96,131.241240833,155.429895973
97,130.191252429,220.585945505
98,128.90686911,127.691018163
99,128.325949909,161.464008134
