epoch,loss,val_loss
0,1307.52651645,83.4079412679
1,258.171593459,85.2963826538
2,228.373273945,105.239844956
3,221.135036429,65.5499603213
4,223.336625227,66.7641989752
5,229.424859791,88.4103115914
6,202.395718994,87.2132989199
7,196.287479583,95.5782971304
8,190.450795448,108.514041353
9,187.762143757,100.013708278
10,184.158179323,79.5524926589
11,176.446652654,64.57719655
12,182.631101238,107.7681974
13,179.916793927,70.7973478433
14,178.989366461,94.9950668783
15,175.137477116,70.0485717033
16,173.443802999,76.1273027396
17,171.569212664,71.5955376303
18,172.446936734,116.523392109
19,168.256745907,66.052018886
20,169.94174376,89.6517322348
21,168.285098542,86.3323043661
22,169.054669248,61.6864896733
23,164.874258078,76.2025715601
24,162.47080497,80.5387580558
25,168.425907398,94.278101133
26,166.246954757,83.1398089497
27,162.075061966,71.6150424068
28,162.665076596,74.6334323618
29,159.515126767,91.7264405808
30,160.056509442,73.1269203861
31,162.482443264,70.3056830519
32,157.911207844,245.058719199
33,161.338839094,72.2258961741
34,160.509357114,57.1575329998
35,159.304576693,81.1309152197
36,157.350794789,95.1260502308
37,154.790968091,83.0953740067
38,158.656738893,73.8886413396
39,157.209744845,72.4246034344
40,156.422055903,65.5458956694
41,156.876355651,67.7818639862
42,156.060658653,205.298287169
43,155.910732212,65.266272023
44,154.11537873,88.5536558124
45,155.698964325,66.023364727
46,154.069308123,87.5558506683
47,153.184079309,68.9426676485
48,156.122397671,70.3467052369
49,152.741336829,68.7717198766
50,152.940113282,66.3808897125
51,152.888308682,64.6035658173
52,152.645691347,64.410406612
53,152.201238296,98.0196496998
54,150.365703923,65.5036201101
55,148.987200431,77.7713719504
56,148.756742892,101.96553627
57,146.618050849,80.789626838
58,145.903934556,104.331884149
59,145.64299329,68.6311201272
60,146.111422439,68.5525016721
61,144.04461925,78.2087690086
62,148.488044737,71.5048700686
63,143.470689138,88.3621061288
64,146.242717628,72.1956403723
65,146.483011278,87.2128571006
66,145.720509151,79.4127668881
67,146.504181507,72.2633022456
68,142.307758382,78.1163216036
69,141.444682671,77.1428935821
70,142.277560835,76.6566713971
71,141.680075919,83.6115856548
72,141.456470798,70.9925970478
73,144.907818231,75.9029321518
74,144.21058897,65.6773484781
75,140.477282083,92.5181472691
76,141.270560287,80.7183606967
77,142.030423443,80.9685527702
78,139.690869753,85.9497500047
79,140.861765506,70.6174005349
80,142.608092643,73.4172678465
81,138.289389221,75.0977970844
82,141.395397516,72.7429786468
83,136.678651724,85.3983282789
84,137.923246363,93.44023894
85,139.347086873,73.5106682353
86,138.539256983,72.716978176
87,138.215518173,66.764413701
88,138.364141259,77.722366076
89,137.774908149,76.2059505555
90,138.480104681,76.616053582
91,136.922421936,84.8461927694
92,138.798652924,80.2168692723
93,138.222370296,75.6823733716
94,136.752220633,79.3130047476
95,135.818254885,62.143000501
96,135.855180202,63.6031652352
97,137.679762894,67.2562497191
98,138.655140518,201.238764726
99,136.967548554,62.9434146422
