epoch,loss,val_loss
0,1446.23882247,86.3671415536
1,258.973146232,201.713528604
2,222.47550797,312.47899742
3,195.038880067,183.675715146
4,187.048848752,97.7958386798
5,194.24223798,100.523868738
6,159.968165575,95.9723593653
7,176.207719251,148.685358182
8,157.900518207,118.766735543
9,148.968411516,65.1402050839
10,142.461133776,122.950838658
11,138.046132825,72.7552187158
12,133.35346603,72.2033714138
13,130.266334042,134.312036563
14,126.723316351,88.2858598422
15,124.994806081,66.6946728598
16,125.304850705,118.443316177
17,124.872843245,104.235906036
18,127.677747417,41.7519210789
19,126.328967496,67.0886966528
20,122.662154501,63.9032034176
21,113.929389445,124.5833598
22,114.431852924,66.6303725596
23,113.10851411,29.1775419244
24,112.295129148,31.7810737866
25,111.687851974,31.1223729034
26,110.183845425,26.5992704254
27,117.585445398,74.2995432965
28,116.559460529,53.0094574741
29,106.846759579,57.5327438349
30,110.29083135,74.0071285572
31,108.304178629,101.045565182
32,112.613472831,40.7796534852
33,107.222709923,21.4141550737
34,105.818525491,41.3035675027
35,105.010924842,59.9344600416
36,104.420753302,27.6186228948
37,102.600115531,35.2705376537
38,104.254959334,31.6947753656
39,104.010458751,48.1932390855
40,100.453894316,28.4559697023
41,100.730346265,60.2703463697
42,99.1218083374,76.5888847683
43,103.131365082,48.3847328651
44,100.453113584,50.7573740825
45,97.8677851135,40.9268542165
46,99.5626072114,30.6344017039
47,110.921958571,48.6774531411
48,107.055370775,47.7759872812
49,104.980616527,48.5805563931
50,101.261152879,33.7032588975
51,98.5548587511,33.8990607135
52,102.130695769,35.386408312
53,100.955565468,36.202783538
54,97.9030366679,24.3661840797
55,98.336187981,44.5457997496
56,97.2973579372,46.7497054671
57,98.643880462,44.2730424201
58,98.0051272543,58.7772441149
59,99.9976532875,24.6022701567
60,97.6179353715,28.3444439428
61,99.0800889503,46.3487092588
62,98.0494622042,41.0197988196
63,96.9128375759,40.389669041
64,95.0964776998,45.6854571624
65,100.727146949,18.1491600355
66,96.597209681,50.550024037
67,99.1470187256,60.2600516341
68,98.5803994724,40.5020675309
69,95.5077246156,31.137602933
70,94.1408017972,45.7978430009
71,92.7596744305,26.1153284281
72,94.1315869591,37.1833092161
73,93.9031682431,23.2215084621
74,95.3692759552,14.4784141817
75,94.1518958886,36.7459277677
76,95.6122563702,40.6443267938
77,94.5007182291,37.0087755206
78,95.092397846,25.7173508643
79,92.6457884715,22.6400802614
80,94.9837053308,40.939808123
81,93.7239399115,21.6638424528
82,91.4459596427,27.496560977
83,93.1363363408,37.2470440516
84,91.9775855212,35.9162112429
85,93.6299769021,27.8802360735
86,91.19549796,38.4162498206
87,93.147235255,21.7357013508
88,94.0336035599,59.4631473021
89,94.3458202632,46.5500780229
90,92.7999610991,30.5903872236
91,95.1096718684,63.9222355278
92,93.0442199192,29.6642823412
93,91.7225378387,23.6766592425
94,90.7774769134,26.5076718529
95,90.5086273269,22.5451903823
96,89.854093039,25.2441381905
97,90.3874936747,40.5671555183
98,88.7769241183,23.6615679038
99,87.4033933492,60.3206404073
