epoch,loss,val_loss
0,1370.82529307,114.48092435
1,281.088963524,74.4909383123
2,244.973962116,79.4237546793
3,229.578129891,125.097448763
4,220.966405206,89.7226061716
5,218.972013962,76.6858670514
6,210.451649502,94.7772472876
7,224.060076818,76.6613318384
8,217.242021584,119.730442942
9,214.463357902,86.7157132848
10,208.077537701,81.5590928007
11,209.505418875,108.79354108
12,187.192922905,47.854168104
13,186.520359209,73.0127556082
14,184.695385221,66.8174920676
15,181.517947359,75.0627072013
16,176.507154398,69.0040248939
17,177.561343754,78.9222114163
18,176.304244461,43.2330352303
19,174.829059378,68.0651615648
20,174.373163382,68.3370597341
21,172.551220058,63.8085503094
22,169.787262096,76.7219525621
23,169.241849707,71.970368213
24,169.661462431,66.7996752526
25,167.593680633,64.980094181
26,170.263785797,63.2022025543
27,170.148057106,129.836094122
28,165.017125614,78.9893846888
29,166.941775988,82.9736809587
30,162.643587719,56.5644804871
31,163.491043599,70.1292053665
32,163.332577611,66.5229682579
33,160.377861175,64.4843721972
34,159.271312727,90.9057421479
35,158.835044543,74.1174395872
36,159.900902112,76.3586986204
37,159.759828327,91.2763613973
38,158.748706778,66.2397039191
39,157.315929056,78.4069339846
40,156.969119256,75.3269087408
41,158.018114838,80.4260946896
42,156.205679474,90.3570877312
43,153.329946168,67.1437796934
44,154.196230722,94.3224644597
45,154.512593384,78.0812293319
46,153.683870101,81.3073487761
47,151.204918887,50.4854729967
48,154.485905909,99.7546596933
49,147.798259269,75.2416025426
50,149.626503374,106.681500854
51,151.223840427,88.5732886663
52,150.732795612,63.1190652483
53,148.878820477,81.7933863954
54,150.340735691,73.050200154
55,148.349656581,74.0465187376
56,150.96334969,76.1457062539
57,149.803536894,92.0609552244
58,148.901947326,77.2180158987
59,146.463834149,80.0321957626
60,147.140080033,78.2572831067
61,147.431125914,74.5150659975
62,145.02652463,69.4713595059
63,145.458663175,81.914555737
64,146.068037014,71.2655401832
65,143.48279583,72.8126772637
66,146.872524115,68.6279609517
67,145.78107768,77.6579824915
68,150.105050107,69.1510926509
69,147.59665378,63.693256366
70,147.137845496,76.7973812525
71,142.576082345,68.4779088058
72,142.680275419,55.0894453822
73,144.261889609,90.9475079629
74,144.594163089,81.0160187438
75,145.060754905,60.2825252699
76,144.379918246,71.3235499388
77,140.07012274,56.1554367266
78,142.517167584,71.0516148502
79,141.896423676,67.4065770968
80,143.213160404,75.4046423534
81,145.63753903,85.1511402735
82,145.577745507,75.5913775248
83,140.327140588,60.5360054715
84,142.258436424,81.1177300901
85,142.349023035,52.7995055218
86,142.137928156,68.8762860178
87,139.730523461,80.552421971
88,142.683432605,68.1152994472
89,138.756146102,92.4508680694
90,140.522655457,70.110172819
91,139.278703899,68.5775980222
92,139.150150979,64.7169357638
93,138.636112369,64.5130251837
94,138.078724602,77.5642376785
95,139.079240653,63.1781970872
96,138.797298768,80.8815879385
97,137.750917928,77.6094625009
98,138.989255953,69.6689678425
99,139.241715847,76.4474256792
