epoch,loss,val_loss
0,1202.08948098,65.5104196909
1,245.465625644,121.786590137
2,236.084061804,70.1775721393
3,214.698605093,84.2250814342
4,213.724386311,131.452216271
5,210.37051392,59.3032791008
6,198.475574348,110.741387538
7,197.71243394,59.9618366648
8,279.818088172,122.283892125
9,185.893111146,78.7321396795
10,186.713172737,67.2413767103
11,181.738642011,57.994902881
12,177.77236749,188.00014585
13,178.758814283,96.4991377412
14,176.085040438,76.055229475
15,172.698839124,72.0819358749
16,174.055277216,67.7078643712
17,173.236989319,73.0659929863
18,170.280293788,67.1769367742
19,169.495792472,54.4664044487
20,170.691069732,73.8215391858
21,167.001340261,67.819053693
22,167.769593252,61.4329269093
23,166.706541116,160.240439667
24,162.560831205,57.2970347899
25,162.476735398,67.5215167321
26,164.71843531,59.8680965117
27,163.290761603,72.7540047197
28,164.408141113,75.8264001433
29,158.868807845,71.909993696
30,161.236115965,62.9550956556
31,159.554009927,62.3761270252
32,158.031325533,142.890630459
33,157.642167586,58.1929401336
34,159.10604634,111.284551232
35,156.806374362,69.0003316573
36,157.305924986,60.622140687
37,155.331475075,56.0752946994
38,153.733013962,65.5242941108
39,152.535055904,70.4104221034
40,153.96262441,55.9072942469
41,151.343533728,57.3514628224
42,152.249478112,59.8210951062
43,151.522124378,96.4214260565
44,149.105607774,63.5713665017
45,148.641966246,54.22484192
46,146.887932174,72.2215337476
47,147.296778859,57.750193844
48,146.835036592,55.5509195823
49,144.080419778,59.5535611284
50,145.029661013,57.4525992482
51,142.933084984,114.884807068
52,144.622517174,53.9734781512
53,144.426924852,71.6290441126
54,141.921978485,60.6261803185
55,144.411132848,53.0976382324
56,141.587660936,56.6797690659
57,141.417344973,55.8011148094
58,140.948742306,54.1535578227
59,141.53746624,60.5193393579
60,141.028518984,52.4443534251
61,142.411856589,69.9258886339
62,140.372647927,53.9537606378
63,139.859301001,98.7052070866
64,139.334325748,56.3757070966
65,139.70185879,79.699624494
66,142.444056965,59.0074389234
67,140.951511862,58.1591888415
68,141.610234763,61.8275164103
69,145.471474084,60.3484613983
70,140.245410394,61.2185605531
71,137.105870033,99.4214117654
72,139.293609651,86.2248315669
73,136.745627877,62.3798739332
74,136.3770171,53.2571016605
75,138.16237996,59.3472691493
76,136.402774791,80.8768236153
77,137.694654568,81.3129473595
78,137.402789876,59.7533000503
79,136.755848501,56.3661792755
80,138.285636537,59.3741294038
81,135.896543447,59.5658932799
82,136.804557277,59.6220941576
83,135.898000129,53.5000696388
84,135.31334612,57.5620890433
85,135.080353159,57.3717950247
86,135.301137536,55.3482050813
87,135.40559051,56.5917972907
88,134.451880596,68.6911282921
89,134.199834622,59.6010433876
90,136.78834218,110.898079661
91,135.436342983,71.5512739892
92,131.967437413,71.6974367856
93,133.602311393,66.8529004061
94,135.952695201,54.1307543302
95,133.843974162,69.325296416
96,133.829800979,56.1081945876
97,133.192230448,55.1170135684
98,134.573965411,58.3262820089
99,133.448809066,55.3082711848
