epoch,loss,val_loss
0,76.4447434164,51.8168453913
1,16.6722990497,48.4820474943
2,16.5439400567,39.6312793595
3,16.3819347596,35.9034966217
4,15.4779108861,45.3664117978
5,15.8115165912,63.1215732323
6,15.5066564652,24.5873736723
7,15.3865482183,27.4974999351
8,15.078188165,18.6763002311
9,14.9604495513,40.0131722808
10,15.3325518081,19.3868301726
11,15.1665162931,26.8029720794
12,15.1377245984,31.6761399954
13,15.1421073291,47.8644414523
14,15.1470643559,37.1251175791
15,14.5360283462,36.2841266974
16,14.8461494479,42.017695991
17,14.4771104061,30.1103644315
18,14.6801354733,65.5104799918
19,14.9511934004,21.5496875798
