epoch,loss,val_loss
0,1513.24310787,189.970942238
1,268.76422365,117.20169885
2,251.648148259,129.689861843
3,237.52281117,155.552328213
4,194.773461008,89.6353469545
5,203.703572847,142.790969105
6,204.436872417,140.792992843
7,171.801983079,715.261262253
8,161.783669405,58.5070325936
9,139.522063519,102.092344548
10,139.309501621,86.0953051989
11,136.45071449,134.707580974
12,136.995537776,60.0909947902
13,125.795342429,155.79838672
14,128.419372312,53.2078161716
15,120.352405853,102.638989558
16,124.144416798,109.690406406
17,124.688365381,96.953904019
18,117.880010455,101.92251843
19,117.496680871,67.2178854673
20,123.800335002,139.643703629
21,111.608154376,96.0224311653
22,109.624532782,64.7166374333
23,134.694560621,94.5919546796
24,110.505423864,143.41360543
25,118.233706713,80.7037092945
26,106.009808793,55.5759434403
27,103.379152773,66.2909965104
28,104.083449126,62.5871313954
29,101.245045688,46.1853778936
30,111.324309191,71.7095082217
31,98.634726878,93.3443690812
32,102.079885051,80.084378073
33,103.735109512,104.476288496
34,99.3961497794,89.3743232067
35,130.453229073,82.1388867876
36,100.273580145,58.6330337473
37,100.02324776,59.1143075683
38,98.0273408807,57.2079570533
39,100.646947267,56.2000107638
40,96.6527192141,60.3984154204
41,96.1299331899,57.1634340604
42,104.599920878,49.2190282823
43,97.5517044406,54.1157655912
44,94.8234329095,60.1255087862
45,97.4841957066,59.3994645705
46,93.7674869383,57.4481863444
47,94.4879143777,61.3921736358
48,99.2980268901,63.4425910496
49,91.8233791794,74.7692288787
50,94.0995595428,69.5038500647
51,93.8776331167,60.5970796264
52,92.0026496734,53.0046295001
53,96.788392124,90.079334014
54,93.0225397817,61.4342555865
55,98.2160844363,62.5359067275
56,90.4857617023,55.1013903879
57,94.092282572,68.1801295397
58,99.9739122756,90.1117069777
59,101.7941657,54.6038608722
60,92.0245425047,54.3236472999
61,94.1415107338,52.5412975429
62,91.4161274213,54.6880058063
63,92.3784935663,57.9234506791
64,89.951819216,58.0278944757
65,89.0020506482,74.2246474419
66,90.3812425987,57.6389545192
67,88.7099966192,58.3869376294
68,89.8277508906,62.1262041387
69,91.0810998084,94.3897454116
70,94.6113616171,57.6196073044
71,87.0346076631,58.3172256236
72,88.9366238713,76.0706930048
73,90.379229852,77.234602336
74,95.926504659,55.8722671428
75,88.7119216019,73.1650101731
76,90.4542004362,54.48558882
77,86.1349695129,71.9011759767
78,90.2492626182,65.655891141
79,89.663678315,55.1278821624
80,89.8827509199,56.2579274236
81,86.3192594063,51.8967722359
82,87.0814667074,70.8658702186
83,88.1505310428,69.5894267122
84,90.3244013138,63.2767480581
85,85.6373577819,51.7354139995
86,86.6694466612,62.6034644999
87,87.5935545302,65.6557687138
88,84.4251186606,56.4687437135
89,91.8581475833,52.5137218749
90,96.5442926239,58.8690526747
91,88.6119158913,67.7254920565
92,99.4786772649,48.7291962445
93,85.1960196316,59.6711032235
94,88.0981213207,59.9943513454
95,88.100335958,53.4694360995
96,82.2962729433,86.0161525828
97,90.0684929526,65.2627165434
98,86.3886782275,69.665499395
99,90.9319665252,66.0647054711
